,frac_train,train_count,test_accuracy,test_mean_prec_macro,test_mean_recall_macro
0,0.01,57,0.595,0.25304224637840944,0.25482999354710234
1,0.01,57,0.5216666666666666,0.2815167935121017,0.334561434400174
2,0.01,57,0.57,0.31645330536193483,0.27409833044620346
3,0.05,292,0.7683333333333333,0.5619071278752777,0.44520237583827277
4,0.05,292,0.7433333333333333,0.4941447037555532,0.41001837022897797
5,0.05,292,0.7816666666666666,0.4624893382625416,0.44579673219073584
6,0.1,588,0.7933333333333333,0.554283528020147,0.48676057050873733
7,0.1,588,0.7666666666666667,0.48560849738551815,0.4532686645547164
8,0.1,588,0.7783333333333333,0.5323400279217144,0.47016939896253046
9,0.2,1177,0.76,0.5123955493945033,0.5100442052922908
10,0.2,1177,0.7883333333333333,0.5632673318591772,0.5715799228799797
11,0.2,1177,0.7883333333333333,0.5746017411146223,0.52294507690874
12,0.5,2960,0.805,0.6199639315802266,0.5889860638007127
13,0.5,2960,0.7933333333333333,0.6080784373592559,0.5798071028965603
14,0.5,2960,0.815,0.6385938280379924,0.5499722123662975
15,0.9,5318,0.82,0.6621767789644508,0.6029887474730232
16,0.9,5318,0.815,0.659537150291998,0.5925853554438368
17,0.9,5318,0.8,0.687830850564107,0.5840497545407841
